column,n_inf_before,n_inf_after
dd_lag1_dd_score_pct_21,63,0
dd_lag1_dd_score_dist_min21,60,0
dd_lag1_dd_score_dist_min63,186,0
dd_lag1_dd_score_dist_min126,375,0
gc_f_volume_pct_21,499,0
gc_f_volume_dist_min21,1271,0
gc_f_volume_dist_min63,2537,0
gc_f_volume_dist_min126,3250,0
si_f_volume_pct_21,818,0
si_f_volume_dist_min21,2954,0
si_f_volume_dist_min63,5736,0
si_f_volume_dist_min126,6522,0
cl_f_volume_pct_21,20,0
cl_f_volume_dist_min21,120,0
cl_f_volume_dist_min63,305,0
cl_f_volume_dist_min126,518,0
hg_f_volume_pct_21,84,0
hg_f_volume_dist_min21,720,0
hg_f_volume_dist_min63,1101,0
hg_f_volume_dist_min126,1351,0
pl_f_volume_pct_21,1406,0
pl_f_volume_dist_min21,2659,0
pl_f_volume_dist_min63,4022,0
pl_f_volume_dist_min126,4777,0
pa_f_volume_pct_21,1394,0
pa_f_volume_dist_min21,2337,0
pa_f_volume_dist_min63,3585,0
pa_f_volume_dist_min126,4271,0
dx_y_nyb_volume_pct_21,2,0
dx_y_nyb_volume_dist_min21,2,0
dx_y_nyb_volume_dist_min63,2,0
dx_y_nyb_volume_dist_min126,2,0
tnx_volume_pct_21,31,0
tnx_volume_dist_min21,51,0
tnx_volume_dist_min63,66,0
tnx_volume_dist_min126,66,0
irx_volume_pct_21,34,0
irx_volume_dist_min21,54,0
irx_volume_dist_min63,73,0
irx_volume_dist_min126,73,0
