column,dtype,n,n_missing,pct_missing,n_unique,is_feature_candidate,is_global
tnx_volume_dist_min126,float64,9283,9283,1.0,0,True,True
vix_volume_pct_21,float64,9283,9283,1.0,0,True,True
dx_y_nyb_volume_dist_min63,float64,9283,9283,1.0,0,True,True
vix_volume_dist_max21,float64,9283,9283,1.0,0,True,True
vix_volume_dist_min21,float64,9283,9283,1.0,0,True,True
dx_y_nyb_volume_dist_min21,float64,9283,9283,1.0,0,True,True
dx_y_nyb_volume_dist_min126,float64,9283,9283,1.0,0,True,True
vix_volume_dist_max63,float64,9283,9283,1.0,0,True,True
vix_volume_dist_min63,float64,9283,9283,1.0,0,True,True
irx_volume_dist_min126,float64,9283,9283,1.0,0,True,True
irx_volume_dist_min63,float64,9283,9283,1.0,0,True,True
vix_volume_dist_max126,float64,9283,9283,1.0,0,True,True
vix_volume_dist_min126,float64,9283,9283,1.0,0,True,True
tnx_volume_dist_min63,float64,9283,9283,1.0,0,True,True
dx_y_nyb_volume_pct_21,float64,9283,9281,0.9997845524076269,1,True,True
tnx_volume_dist_min21,float64,9283,9268,0.9983841430572014,5,True,True
irx_volume_dist_min21,float64,9283,9264,0.997953247872455,5,True,True
dx_y_nyb_volume_dist_max21,float64,9283,9257,0.997199181299149,3,True,True
tnx_volume_pct_21,float64,9283,9217,0.9928902294516859,14,True,True
dx_y_nyb_volume_dist_max63,float64,9283,9215,0.9926747818593127,3,True,True
irx_volume_pct_21,float64,9283,9210,0.9921361628783798,16,True,True
dx_y_nyb_volume_dist_max126,float64,9283,9152,0.9858881826995584,3,True,True
tnx_volume_dist_max21,float64,9283,9125,0.9829796402025207,18,True,True
irx_volume_dist_max21,float64,9283,9110,0.9813637832597221,17,True,True
tnx_volume_dist_max63,float64,9283,9050,0.9749003554885274,17,True,True
irx_volume_dist_max63,float64,9283,9046,0.9744694603037811,20,True,True
tnx_volume_dist_max126,float64,9283,8987,0.9681137563287731,15,True,True
irx_volume_dist_max126,float64,9283,8983,0.9676828611440267,18,True,True
si_f_volume_dist_min126,float64,9283,7903,0.8513411612625229,395,True,True
pa_f_volume_dist_min126,float64,9283,7581,0.8166540988904449,418,True,True
pl_f_volume_dist_min126,float64,9283,7376,0.7945707206721965,590,True,True
si_f_volume_dist_min63,float64,9283,7103,0.7651621243132608,602,True,True
pa_f_volume_dist_min63,float64,9283,6879,0.7410319939674674,670,True,True
pl_f_volume_dist_min63,float64,9283,6605,0.7115156738123452,780,True,True
pa_f_volume_dist_min21,float64,9283,5621,0.6055154583647527,1009,True,True
pl_f_volume_dist_min21,float64,9283,5232,0.5636109016481741,1073,True,True
si_f_volume_dist_min21,float64,9283,4311,0.4643972853603361,1447,True,True
gc_f_volume_dist_min126,float64,9283,4120,0.44382204028869976,1843,True,True
gc_f_volume_dist_min63,float64,9283,3405,0.3667995260152968,2288,True,True
pa_f_volume_pct_21,float64,9283,3284,0.35376494667672087,1988,True,True
pl_f_volume_pct_21,float64,9283,2588,0.2787891845308629,2318,True,True
