rank,feature,is_global,feature_group
1,dtf_pct_21,False,colombia
2,dtf_logret_21,False,colombia
3,si_f_volume_roll_std126,True,metales
4,dtf_dist_max126,False,colombia
5,dtf_dist_max63,False,colombia
6,dtf_logret_5,False,colombia
7,gc_f_volume_roll_std63,True,oro_internacional
8,gc_f_volume_roll_std126,True,oro_internacional
9,hg_f_volume_roll_std126,True,metales
10,si_f_volume_roll_std63,True,metales
11,dtf_dist_max21,False,colombia
12,dtf_dist_min126,False,colombia
13,pa_f_volume_roll_std126,True,metales
14,dtf_dist_min63,False,colombia
15,precio_cafe_centusd_lag5,False,colombia
16,precio_oro_lag5,False,colombia
17,precio_cafe_centusd_lag1,False,colombia
18,precio_cafe_centusd,False,colombia
19,precio_oro_log,False,colombia
20,precio_cafe_centusd_log,False,colombia
21,precio_oro_lag1,False,colombia
22,precio_oro_lag63,False,colombia
23,precio_cafe_centusd_lag63,False,colombia
24,pl_f_volume_roll_std126,True,metales
25,dtf_dist_min21,False,colombia
26,precio_oro_roll_mean21,False,colombia
27,hg_f_volume_roll_std63,True,metales
28,inflacion_sin_alimentos_log,False,colombia
29,gc_f_volume_roll_mean126,True,oro_internacional
30,precio_oro_dist_min126,False,colombia
31,inflacion_sin_alimentos_lag5,False,colombia
32,inflacion_sin_alimentos,False,colombia
33,dtf_log,False,colombia
34,dtf_lag21,False,colombia
35,inflacion_sin_alimentos_lag1,False,colombia
36,dtf_lag5,False,colombia
37,dtf,False,colombia
38,dtf_lag63,False,colombia
39,inflacion_sin_alimentos_lag63,False,colombia
40,gc_f_high_dist_min63,True,oro_internacional
41,precio_cafe_centusd_dist_max126,False,colombia
42,si_f_volume_roll_mean126,True,metales
43,dtf_lag1,False,colombia
44,gc_f_adj_close_dist_min63,True,oro_internacional
45,gc_f_low_dist_min63,True,oro_internacional
46,gc_f_close_dist_min63,True,oro_internacional
47,gc_f_open_dist_min63,True,oro_internacional
48,qqq_adj_close_roll_mean126,True,renta_variable
49,precio_cafe_centusd_dist_min126,False,colombia
50,inflacion_sin_alimentos_dist_max126,False,colombia
51,gc_f_low_dist_max63,True,oro_internacional
52,pl_f_volume_roll_std63,True,metales
53,gc_f_volume_roll_mean63,True,oro_internacional
54,pa_f_volume_roll_std63,True,metales
55,gc_f_open_dist_min126,True,oro_internacional
56,gc_f_open_dist_max63,True,oro_internacional
57,qqq_open_roll_mean126,True,renta_variable
58,gc_f_close_dist_min126,True,oro_internacional
59,gc_f_high_dist_min126,True,oro_internacional
60,gc_f_adj_close_dist_min126,True,oro_internacional
61,qqq_high_roll_mean126,True,renta_variable
62,qqq_adj_close,True,renta_variable
63,qqq_adj_close_log,True,renta_variable
