accuracy,balanced_accuracy,precision_up,recall_up,f1_up,mcc,threshold,n_test,roc_auc,tn,fp,fn,tp,recall_not_up,block_id,test_start,test_end,horizon,feature_set,model,train_window_years,weight_strategy,cal_bacc,n_features,n_global_features,config_key,config_tag,config_reason
0.8967391304347826,0.9002380952380953,0.8494623655913979,0.9404761904761904,0.8926553672316384,0.7974911849629265,0.707,184,0.9621428571428572,86,14,5,79,0.86,0,2020-05-01,2020-11-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.9232503607503608,2200,1938,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.8232044198895028,0.7519698526892772,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.5039397053785543,0.4909999999999999,181,0.8773552586502227,123,16,16,26,0.8848920863309353,1,2020-11-01,2021-05-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.8812229437229437,2200,1933,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.8152173913043478,0.8957055214723926,0.3818181818181818,1.0,0.5526315789473685,0.5497045801955891,0.41,184,0.9798422436459246,129,34,0,21,0.7914110429447853,2,2021-05-01,2021-11-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.8854353456863917,2200,1931,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.9005524861878453,0.9032277859597448,0.8586956521739131,0.9404761904761904,0.8977272727272727,0.8044833127381986,0.3829999999999999,181,0.9658811978399608,84,13,5,79,0.865979381443299,3,2021-11-01,2022-05-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.8566961000735835,2200,1930,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.9728260869565216,0.9846625766871164,0.8076923076923077,1.0,0.8936170212765957,0.8848256721145892,0.302,184,0.9988314344142566,158,5,0,21,0.9693251533742332,4,2022-05-01,2022-11-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.8453296703296703,2200,1925,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.856353591160221,0.8343984962406015,0.816,0.9714285714285714,0.8869565217391304,0.7140797823445001,0.0830325097821823,181,0.9676691729323308,53,23,3,102,0.6973684210526315,5,2022-11-01,2023-05-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.9337912087912088,2200,1935,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.8043478260869565,0.661408121530821,0.2857142857142857,0.4761904761904761,0.3571428571428571,0.2615361173297161,0.3379999999999999,184,0.7636576102833772,138,25,11,10,0.8466257668711656,6,2023-05-01,2023-11-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.9406256226339909,2200,1933,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.945054945054945,0.9523809523809524,1.0,0.9047619047619048,0.95,0.8948554539839964,0.1669999999999999,182,0.9969078540507113,77,0,10,95,1.0,7,2023-11-01,2024-05-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.8495052135219499,2200,1942,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.9402173913043478,0.9303797468354432,0.9051724137931034,1.0,0.9502262443438914,0.8826866650071278,0.131,184,0.9969861362266426,68,11,0,105,0.8607594936708861,8,2024-05-01,2024-11-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.8851190476190476,2200,1936,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.9226519337016574,0.9198576337751596,0.9487179487179488,0.8809523809523809,0.9135802469135802,0.8456519331299275,0.0913749771056239,181,0.9690721649484536,93,4,10,74,0.9587628865979382,9,2024-11-01,2025-05-01,21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.9546703296703296,2200,1935,h21__colombia_plus_global_full__HistGradientBoostingClassifier__winall__wbalanced__competitivo_HGB_full_all_balanced,competitivo_HGB_full_all_balanced,Muy competitivo en corrida previa; full global + balance de clases.
0.875,0.8830952380952382,0.7961165048543689,0.9761904761904762,0.8770053475935828,0.7688033562587632,0.4369999999999999,184,0.9538095238095238,79,21,2,82,0.79,0,2020-05-01,2020-11-01,21,colombia_plus_global_full,XGBClassifier,15,none,0.9237012987012988,2200,1939,h21__colombia_plus_global_full__XGBClassifier__win15__wnone__competitivo_XGB_full_15_none,competitivo_XGB_full_15_none,Uno de los mejores XGB observados; ventana 15 años.
0.856353591160221,0.8317060637204522,0.66,0.7857142857142857,0.717391304347826,0.6263178679324044,0.4251314897537231,181,0.8809523809523809,122,17,9,33,0.8776978417266187,1,2020-11-01,2021-05-01,21,colombia_plus_global_full,XGBClassifier,15,none,0.8757215007215007,2200,1934,h21__colombia_plus_global_full__XGBClassifier__win15__wnone__competitivo_XGB_full_15_none,competitivo_XGB_full_15_none,Uno de los mejores XGB observados; ventana 15 años.
