segment_col,segment,n,positive_share,accuracy,balanced_accuracy,recall_up,recall_not_up,roc_auc
cluster_abs,5,92,0.22826086956521738,0.9891304347826086,0.9929577464788732,1.0,0.9859154929577465,1.0
year,2024,366,0.45901639344262296,0.9398907103825137,0.9412878787878788,0.9583333333333334,0.9242424242424242,0.9928751803751804
year,2025,120,0.7,0.9166666666666666,0.9404761904761905,0.8809523809523809,1.0,0.9920634920634921
year,2022,365,0.3452054794520548,0.9342465753424658,0.9404097761838348,0.9603174603174603,0.9205020920502092,0.9861858271900112
cluster_chg,2,191,0.3298429319371728,0.9214659685863874,0.9333457341269842,0.9682539682539683,0.8984375,0.9714781746031746
policy_stance,tightening,420,0.35,0.9214285714285714,0.9317111459968603,0.9659863945578231,0.8974358974358975,0.9890857441877849
cluster_chg,3,688,0.4055232558139535,0.9215116279069767,0.9282891219952503,0.96415770609319,0.8924205378973105,0.9590749358081166
policy_stance,easing,420,0.45,0.9238095238095239,0.9254449254449254,0.9417989417989417,0.9090909090909091,0.955839574887194
cluster_chg,4,152,0.2565789473684211,0.875,0.915929203539823,1.0,0.831858407079646,0.9852507374631269
cluster_abs,1,728,0.4326923076923077,0.9024725274725275,0.9012375571697606,0.8920634920634921,0.910411622276029,0.9433952111918213
dd_lag1_dd_clasificacion,Sin evidencia suficiente,730,0.2876712328767123,0.8945205479452055,0.8961538461538462,0.9,0.8923076923076924,0.9560897435897436
cluster_chg,6,237,0.4345991561181435,0.890295358649789,0.8940008694392116,0.9223300970873787,0.8656716417910447,0.9405883205332561
cluster_chg,0,210,0.2523809523809524,0.8714285714285714,0.8890157433000841,0.9245283018867925,0.8535031847133758,0.9349837759884629
dd_lag1_dd_clasificacion,Indicios parciales,1096,0.4215328467153285,0.8832116788321168,0.8876029333442583,0.9155844155844156,0.8596214511041009,0.9289913556475071
cluster_abs,6,701,0.32952924393723254,0.8744650499286734,0.8832688588007737,0.9090909090909091,0.8574468085106383,0.955420466058764
year,2020,245,0.34285714285714286,0.8571428571428571,0.8770703933747412,0.9404761904761905,0.8136645962732919,0.9565217391304347
cluster_abs,3,305,0.3442622950819672,0.8524590163934426,0.8761904761904762,0.9523809523809523,0.8,0.9534285714285715
cluster_chg,1,267,0.36329588014981273,0.8801498127340824,0.8638265615524561,0.8041237113402062,0.9235294117647059,0.9027289266221953
policy_stance,neutral,986,0.3407707910750507,0.8580121703853956,0.8606776556776556,0.8690476190476191,0.8523076923076923,0.9023763736263737
year,2023,365,0.3452054794520548,0.8328767123287671,0.8404894733346616,0.8650793650793651,0.8158995815899581,0.8971906754333533
year,2021,365,0.23013698630136986,0.8547945205479452,0.8389256058295205,0.8095238095238095,0.8683274021352313,0.9224284019657685
cluster_chg,5,81,0.4691358024691358,0.6049382716049383,0.6018971848225214,0.5526315789473685,0.6511627906976745,0.846389228886169
periodo_presidencial,Duque,828,0.27898550724637683,0.8719806763285024,0.8767212686810677,0.8874458874458875,0.8659966499162479,0.9457750513026895
periodo_presidencial,Petro,998,0.44188376753507014,0.9008016032064128,0.9031029527310626,0.9229024943310657,0.8833034111310593,0.9542332791883958
