embedding,regime_version,method,metric,n_neighbors,min_dist,n_clusters,silhouette,calinski_harabasz,davies_bouldin,nmi_dutch_disease,nmi_policy_stance,structural_silhouette_score,sample_size
abs,umap_k6_7_structural,UMAP,euclidean,75,0.1,7,0.47006902,3780.1208,0.7590409310498762,0.26242183679569786,0.06888021891477453,0.5163203183973891,3000
abs,umap_k6_7_structural,UMAP,euclidean,75,0.1,6,0.46363807,3554.966,0.7425674381514789,0.25755227029667827,0.077080540342677,0.5099789618242528,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.0,7,0.43620545,3042.436,0.7735565922306328,0.20585006631491964,0.0576522236535047,0.4728481790327117,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.05,7,0.42699757,2753.1084,0.7583921909320834,0.252303488573511,0.07068801242386599,0.47191189671202227,3000
abs,umap_k6_7_structural,UMAP,euclidean,75,0.0,7,0.43927345,3060.3962,0.768818857871956,0.1457449176865422,0.06846498373020707,0.4679816828243266,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.1,7,0.42948627,2953.4976,0.7624020954483302,0.2022852608729566,0.07826369836779586,0.46765543368696133,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.1,6,0.42769772,2870.814,0.7147031804095314,0.23392692600023923,0.047278979131326684,0.4675146549566317,3000
abs,umap_k6_7_structural,UMAP,euclidean,75,0.25,6,0.41839308,2915.9546,0.8239537499044517,0.26433795372798424,0.07223757404358994,0.46526752592971266,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.05,7,0.43142587,3063.2815,0.7803663639098496,0.15452354299939866,0.1063585700896721,0.46524025792375123,3000
abs,umap_k6_7_structural,UMAP,euclidean,75,0.0,6,0.4353618,2922.4106,0.7377835974557186,0.14219775482895958,0.0731333047022014,0.4640047962725365,3000
abs,umap_k6_7_structural,UMAP,euclidean,75,0.25,7,0.41628394,3031.0254,0.8743981722170968,0.26194278805805804,0.060430210291574915,0.4616183745463226,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.05,6,0.4292159,2994.6597,0.7679412090165307,0.1673946556193352,0.06797646533183868,0.46112275292662125,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.25,7,0.41856283,3044.0764,0.7616835868199138,0.2136501301908683,0.06247914807474596,0.45685826383058115,3000
abs,umap_k6_7_structural,UMAP,euclidean,75,0.05,6,0.4238956,2750.3745,0.7725523174070901,0.17878503069363605,0.0544933564561898,0.45616268770755014,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.0,6,0.42231828,2905.952,0.8116320504281574,0.16066771736195007,0.05984477225873477,0.45240291457336057,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.1,7,0.41342717,2857.3145,0.7612460638473143,0.21220928744489923,0.05793061212290813,0.45105162842036484,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.05,6,0.40989932,2606.457,0.7974503871932951,0.241389840583883,0.037846131316525804,0.4498924133979307,3000
abs,umap_k6_7_structural,UMAP,euclidean,75,0.05,7,0.40695825,2756.4263,0.814813018776353,0.219044926452689,0.07508262709566631,0.44732325386901356,3000
abs,umap_k6_7_structural,UMAP,euclidean,45,0.25,6,0.41246197,2967.587,0.8118668415335728,0.1935555585474223,0.05420837370321095,0.4469161374286033,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.25,7,0.40380716,2844.0771,0.7737298646028272,0.23865696631684702,0.06762464989709507,0.44636817317576194,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.0,7,0.40945232,2738.9229,0.7631554024143877,0.17737737232510037,0.05121193195918299,0.441180118189886,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.0,6,0.4075276,2706.4111,0.7879735941898293,0.16734195937955387,0.03130460342265418,0.4357593500076366,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.25,6,0.38653702,2743.2546,0.847349305404847,0.2635120395874275,0.06506444130092495,0.43257026550628647,3000
abs,umap_k6_7_structural,UMAP,euclidean,30,0.1,6,0.4008934,2676.314,0.8003649401176491,0.1649891124026933,0.060962770429095994,0.431738034081994,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.0,7,0.38986042,2606.9297,0.8118828837895319,0.14775342296762264,0.037405245908783614,0.4157639594551654,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.1,7,0.38159165,2540.5432,0.780159487631319,0.1629397478947359,0.052598935730882056,0.41129250362068664,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.1,6,0.37532347,2469.0427,0.7959349567850525,0.15104387483571488,0.05692429057259573,0.40367248468981287,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.05,6,0.37133554,2457.897,0.8394755433556441,0.16850763199997504,0.06120917064181844,0.40273259810570944,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.0,6,0.37823495,2481.9438,0.845602883609127,0.12945774426452122,0.04283307018828474,0.4019369213467238,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.05,7,0.36692744,2522.1658,0.8258354789351001,0.16064898543395253,0.07281020915055572,0.3983058136649934,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.25,7,0.3676613,2525.4053,0.8209280902483317,0.16976704760965852,0.03639808426947402,0.3967661628897157,3000
abs,umap_k6_7_structural,UMAP,euclidean,15,0.25,6,0.364208,2411.9446,0.8283835415955011,0.12901888964830774,0.04192288272782474,0.38775313453931876,3000
