fecha,umap_abs_1,umap_abs_2,cluster_abs,umap_chg_1,umap_chg_2,cluster_chg
2000-01-01,-6.5617485,2.9819264,5,9.051567,8.445227,3
2000-01-02,-6.548669,2.9609234,5,9.051319,8.447018,3
2000-01-03,-6.521723,2.9464078,5,9.051105,8.44765,3
2000-01-04,-6.5067616,2.9269884,5,9.0526,8.440936,3
2000-01-05,-6.506419,2.9315119,5,9.051602,8.444943,3
2000-01-06,-6.511971,2.933634,5,9.051163,8.447636,3
2000-01-07,-6.501799,2.9289877,5,9.051193,8.447883,3
2000-01-08,-6.505552,2.9296198,5,9.051302,8.44601,3
2000-01-09,-6.5406165,2.9720988,5,9.051744,8.444423,3
2000-01-10,-6.5445933,2.9567118,5,9.051745,8.444084,3
2000-01-11,-6.5113664,2.9351423,5,9.051633,8.444789,3
2000-01-12,-6.5045652,2.9329531,5,9.051777,8.443902,3
2000-01-13,-6.51593,2.9397306,5,9.051093,8.446665,3
2000-01-14,-6.5276904,2.9707737,5,9.051806,8.445238,3
2000-01-15,-6.5391397,2.963168,5,9.05029,8.451208,3
2000-01-16,-6.5400343,2.9600217,5,9.048836,8.464556,3
2000-01-17,-6.5121627,2.9574027,5,9.050968,8.451802,3
2000-01-18,-6.527518,2.952888,5,9.049846,8.451245,3
2000-01-19,-6.526127,2.9459429,5,9.049466,8.451318,3
2000-01-20,-6.5422044,2.9785223,5,9.050329,8.451131,3
2000-01-21,-6.632816,3.0718026,5,9.049957,8.451511,3
2000-01-22,-6.603048,3.0238209,5,-8.894905,3.8333235,6
2000-01-23,-6.751732,3.0899637,5,-8.893677,3.8324094,6
2000-01-24,-6.6223044,3.0596716,5,-8.9016485,3.8400078,6
2000-01-25,-6.6147466,3.068668,5,-8.894756,3.8333263,6
2000-01-26,-6.5997167,3.0765722,5,-8.895636,3.834087,6
2000-01-27,-6.590761,3.070013,5,-8.899033,3.8374302,6
2000-01-28,-7.644784,3.4929996,5,-8.750192,3.7157047,6
2000-01-29,-7.639138,3.4092968,5,-8.750345,3.7158883,6
2000-01-30,-7.2536497,3.0428154,5,-8.749378,3.7155035,6
2000-01-31,-7.6307216,3.4993122,5,-8.748179,3.7139926,6
2000-02-01,-7.646345,3.4966898,5,-8.751764,3.7182739,6
2000-02-02,-7.647504,3.4961162,5,-8.754265,3.7201762,6
2000-02-03,-7.687419,3.4316263,5,-8.7549,3.720696,6
2000-02-04,-8.031505,2.816895,5,-8.749955,3.716936,6
2000-02-05,-7.9802876,2.8233018,5,-8.749766,3.7167513,6
2000-02-06,-7.5082865,2.8719006,5,-8.74967,3.7166705,6
2000-02-07,-8.03786,2.8212123,5,-8.749651,3.7166307,6
2000-02-08,-8.016101,2.8361495,5,-8.74962,3.7166157,6
2000-02-09,-8.054687,2.8162003,5,-8.749669,3.716658,6
2000-02-10,-8.047602,2.8154502,5,-8.749673,3.716652,6
2000-02-11,-8.048544,2.791885,5,-8.779107,3.7418487,6
2000-02-12,-8.030886,2.7729194,5,-8.772876,3.7348275,6
2000-02-13,-7.612066,2.8439522,5,-8.770726,3.7333753,6
2000-02-14,-8.064496,2.750596,5,-8.763923,3.726019,6
2000-02-15,-8.0625515,2.7559955,5,-8.772078,3.7341435,6
2000-02-16,-8.071558,2.773265,5,-8.760817,3.723433,6
2000-02-17,-8.068529,2.7765026,5,-8.778236,3.739086,6
2000-02-18,-8.07236,2.7334054,5,-8.876857,3.8189366,6
2000-02-19,-8.018313,2.747923,5,-8.889473,3.8308702,6
2000-02-20,-7.6859207,2.8053803,5,-8.879696,3.8214023,6
2000-02-21,-8.079238,2.7108345,5,-8.880121,3.8216715,6
2000-02-22,-8.089091,2.7109554,5,-8.891338,3.8306208,6
